,DevNet,RF,CatB,IForest,OCSVM,ABOD,CBLOF,COF,AOM,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,LSCP,MAD,MCD,PCA,SOD,SOS,VAE,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
6_cardio,0.9932804373410273,0.910538703921643,0.9838274932614556,0.944193462662769,0.9396757905926123,0.498576363843438,0.8512964579932425,0.5445503207926806,,0.9283626286017995,0.9428267719524696,0.6462928514483125,0.8653430014046544,0.7415436012300216,0.6257165635321362,0.8927527428723283,0.628374017691052,,,0.8844387077180063,0.961087278387305,0.6725257203598952,0.5790212975969021,,0.6803462283132758,0.9346266276906723,0.13032914467939713,0.14357845184313428,0.9592270604760639
25_musk,1.0,0.9306857807051531,1.0,1.0,0.818674932196823,0.08593568384347153,1.0,0.4003874467260752,,0.9552499031383185,0.9645486245641225,0.45951181712514527,1.0,0.701123595505618,0.3512204571871368,0.959046881053855,0.49074002324680355,,,0.9999225106547849,1.0,0.7602092212320806,0.4683068578070515,1.0,0.7321580782642387,1.0,0.00511429678419217,0.0064316156528477315,1.0
26_optdigits,1.0,0.9456067251461988,0.9965058479532163,0.8253654970760234,0.5272368421052631,0.5255701754385965,0.8828801169590643,0.4236111111111111,,0.695248538011696,0.610014619883041,0.5652777777777778,0.8528216374269005,0.39819444444444446,0.4473830409356725,0.6234795321637427,0.5703216374269005,,,0.37818713450292396,0.516608187134503,0.5222368421052632,0.4924707602339181,0.5220175438596492,0.9576461988304094,,0.7437134502923977,0.46343567251461987,0.9928801169590643
36_speech,0.6561989379084967,0.4783496732026144,0.5690359477124183,0.48427287581699346,0.46206086601307184,0.7294730392156863,0.4626736111111111,0.5531556372549019,,0.5021956699346406,0.4694138071895425,0.4864685457516339,0.47635825163398693,0.47319240196078427,0.5014808006535947,0.44852941176470584,0.4863153594771242,,,0.4924938725490196,0.46997549019607837,0.5187908496732025,0.5699040032679737,0.47002655228758167,0.6197406045751634,0.4718647875816993,0.5745506535947713,0.4902982026143791,0.5604575163398693
40_vowels,0.9162717219589257,0.7428120063191153,0.8489731437598735,0.7807266982622432,0.5327014218009478,0.9567140600315956,0.8951026856240126,0.8497630331753554,,0.5014218009478673,0.5642969984202211,0.9494470774091627,0.646129541864139,0.9717219589257504,0.4658767772511848,0.6559241706161137,0.953080568720379,,,0.6886255924170616,0.5660347551342813,0.843127962085308,0.6783570300157978,,0.515955766192733,0.5418641390205371,0.3165876777251185,0.3459715639810426,0.9302527646129541
