,DevNet,RF,CatB,IForest,OCSVM,ABOD,CBLOF,COF,AOM,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,LSCP,MAD,MCD,PCA,SOD,SOS,VAE,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
6_cardio,0.9586194542778511,0.776391855369037,0.9090863055235378,0.6157182148130151,0.5729078343118891,0.1430992725310761,0.48664225381505644,0.12550977046359857,,0.6041458978725394,0.5928251245390739,0.16684243538823976,0.5171393956419552,0.3302870314630517,0.15749008388504812,0.4436097579702115,0.1446768664389412,,,0.45358520814297437,0.6523185048808671,0.215601033976919,0.143175168726662,,0.31217739701808356,0.6039986421651329,0.05382913587032797,0.05448984770060117,0.7847464215017291
25_musk,0.9999999999999998,0.8590323600829772,0.9999999999999998,0.9999999999999998,0.09066869985384837,0.017537025459928846,0.9999999999999998,0.027347852666983682,,0.4395501884487759,0.5829916451995415,0.03043285391682834,0.9999999999999999,0.13918173600906317,0.030710736219500788,0.7659716524984764,0.032728616140389896,,,0.9976615140705507,0.9999999999999998,0.07992870344596548,0.06282379339375295,0.9999999999999998,0.2610682508049126,0.9999999999999998,0.016500934257229063,0.0165006060530954,0.9999999999999999
26_optdigits,1.0,0.7686235299961144,0.8954947190708746,0.07675915031885046,0.028271727307149913,0.030168418052282313,0.10657747832488378,0.024756890168114998,,0.044084925705787245,0.034623781915132455,0.039434123609903934,0.1339101530425353,0.02235823887776404,0.027926427985930626,0.03543855789316323,0.03892254045022166,,,0.021380535299817493,0.02746068876127523,0.03463674805244829,0.03148877222456491,0.027690823053098015,0.294337196472804,,0.06336790764343601,0.025977101842812367,0.8411386577680572
36_speech,0.08866318549055187,0.01581334745891708,0.022035359921645094,0.01601341200850881,0.01658158791661421,0.04779383527739249,0.01649344899311163,0.0566123683732342,,0.017850619455390702,0.017334445598631343,0.019642138866829122,0.016317304918475602,0.017340566935540883,0.02322161041411555,0.01506046801849455,0.018912466146761918,,,0.01989416161522417,0.01735420269830215,0.022130330995210355,0.02320532231925365,0.017385337013625123,0.04104366817838932,0.016746831896120952,0.03725876141784998,0.017247267964938605,0.09578381417088869
40_vowels,0.6192439889368337,0.3628311721332317,0.5332927688096551,0.38967530006993234,0.11410848422509505,0.7416460588747106,0.22346867171101306,0.4891700725570477,,0.049136566626663124,0.16246935200132734,0.3223140387356204,0.19503543629467213,0.7022497170747272,0.03901476289435356,0.0986466088290151,0.38794950681870666,,,0.05936718125564524,0.12728588465238455,0.20114661650009588,0.11263237283959548,,0.04115103045266723,0.06371364448062872,0.03531405015442901,0.03724339906610399,0.6871619514117491
