,IForest,OCSVM,ABOD,CBLOF,COF,AOM,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,LSCP,MAD,MCD,PCA,SOD,SOS,VAE,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
2_annthyroid,0.35349939828394195,0.1308560128581689,,0.23602513521752672,0.18333320788874566,,0.19293373406968056,0.2984247159961488,0.19331344471554568,0.22932795152024257,0.22633890110736565,0.06485480622920986,0.053692532215370965,0.19374923044682135,,,0.5149527636176263,0.20692160389168074,0.2218666323588331,0.13381327439110557,,0.21218992947767537,0.34978178823260964,0.04271749187987294,0.05959740291231107,0.7810044627650929
6_cardio,0.6157182148130151,0.5729078343118891,0.1430992725310761,0.48664225381505644,0.12550977046359857,,0.6041458978725394,0.5928251245390739,0.16684243538823976,0.5171393956419552,0.3302870314630517,0.15749008388504812,0.4436097579702115,0.1446768664389412,,,0.45358520814297437,0.6523185048808671,0.215601033976919,0.143175168726662,,0.31217739701808356,0.6039986421651329,0.05382913587032797,0.05448984770060117,0.7847464215017291
23_mammography,0.18935415740485567,0.1162580512257543,,0.1112131628626429,0.11749700931516466,,0.40443305192171713,0.4149006654545686,0.08996034216368876,0.17706131511777326,0.17263741325208978,0.12896775954057477,0.143938942207114,0.11829660478884489,,,0.02184917477663147,0.20550021393960452,0.14910638713695534,,,0.09747277748230963,0.018758907875810638,0.016765601877808692,0.01219072608324093,0.3960747757630806
25_musk,0.9999999999999998,0.09066869985384837,0.017537025459928846,0.9999999999999998,0.027347852666983682,,0.4395501884487759,0.5829916451995415,0.03043285391682834,0.9999999999999999,0.13918173600906317,0.030710736219500788,0.7659716524984764,0.032728616140389896,,,0.9976615140705507,0.9999999999999998,0.07992870344596548,0.06282379339375295,0.9999999999999998,0.2610682508049126,0.9999999999999998,0.016500934257229063,0.0165006060530954,0.9999999999999999
30_satellite,0.6602752827441751,,0.3730537954003067,0.6216962302560509,0.4072886429845497,,0.5885598146445237,0.5444245747045231,0.3618729828235566,0.6983744164580739,0.5016975768341134,0.4835742006022279,0.55441794987975,0.3657838772220756,,,0.764358327712555,0.6188274973049814,0.47319384639141593,0.2961562959187063,0.7276784262209349,0.5201901630725119,0.7220885690564895,0.5257576135439159,0.4766433994283783,0.8626395586838281
31_satimage-2,0.9484341949130684,0.8327740454642597,0.06362810466971092,0.9606396944742812,0.10458818241820388,,0.792395765289173,0.7071950983501841,0.025744594756776856,0.7949897603841112,0.27353003431686496,,0.8760378653085529,0.02411256056529672,,,0.6267933226881965,0.8438006604640991,0.17256664096939897,0.036892068370290604,0.8223892538152562,0.016410456459182845,0.4797222945839886,0.04164082922935714,0.006347032253745057,0.879892343489385
32_shuttle,0.9687575323205561,0.9725785040392347,0.16310140295812986,0.9860611084834846,0.13709544432551674,,0.9692366941766648,0.9046167300892309,0.0808509495090714,0.9847326464403074,0.2116901156292454,0.08678980310297418,0.7497082403765957,0.13680405089174047,,,0.8762600765464164,0.9442075994793915,0.26498124526200706,0.11541813685914563,,0.10048547460586353,0.8896215270619572,0.961884310096071,0.07014206430333832,0.9878126634014227
47_yeast,0.33324819218406687,0.322699168092792,0.3102918289985017,0.3284841727409774,0.3050521625138713,,0.3269549003879191,0.365280329578339,0.33649443143225644,0.344415808190319,0.3209074051218457,0.31561854230339675,0.36773104559116476,0.32991708079889287,,,0.310380177409168,0.3162449036111324,0.3215819313438415,0.31335718066704904,,0.3263681992809565,0.35471011174810596,0.45243946510712674,0.44873721708787,0.41713808696417287
