,IForest,OCSVM,ABOD,CBLOF,COF,AOM,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,LSCP,MAD,MCD,PCA,SOD,SOS,VAE,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
2_annthyroid,0.8263874999999999,0.60606875,,0.673525,0.7048281249999999,,0.795846875,0.803715625,0.8061593749999999,0.6915218750000001,0.7302906250000001,0.43338437499999993,0.30584531249999997,0.7061250000000001,,,0.92000625,0.692759375,0.7902171874999999,0.60814375,,0.7543125,0.76345,0.19232499999999997,0.40383125,0.989428125
6_cardio,0.944193462662769,0.9396757905926123,0.498576363843438,0.8512964579932425,0.5445503207926806,,0.9283626286017995,0.9428267719524696,0.6462928514483125,0.8653430014046544,0.7415436012300216,0.6257165635321362,0.8927527428723283,0.628374017691052,,,0.8844387077180063,0.961087278387305,0.6725257203598952,0.5790212975969021,,0.6803462283132758,0.9346266276906723,0.13032914467939713,0.14357845184313428,0.9592270604760639
23_mammography,0.8495029492015087,0.8547041770323409,,0.8484396316507504,0.7920035510793677,,0.8987315424123266,0.9074838496107857,0.7852374408153439,0.8717548752106573,0.859614497231362,0.7744161784768477,0.8148097062836048,0.7647786092608939,,,0.4810784648102079,0.8939817229756841,0.8098366904742798,,,0.716212081694888,0.4262072666720167,0.31395955380788054,0.12388903378541047,0.9210286092608941
25_musk,1.0,0.818674932196823,0.08593568384347153,1.0,0.4003874467260752,,0.9552499031383185,0.9645486245641225,0.45951181712514527,1.0,0.701123595505618,0.3512204571871368,0.959046881053855,0.49074002324680355,,,0.9999225106547849,1.0,0.7602092212320806,0.4683068578070515,1.0,0.7321580782642387,1.0,0.00511429678419217,0.0064316156528477315,1.0
30_satellite,0.6994036105738234,,0.5380126965233348,0.7178792838367307,0.5569992064672916,,0.6451123344740366,0.5935748648514606,0.5241990279224321,0.7681297425978277,0.6460558944601498,0.5925141348013687,0.6092434161583098,0.5241593512870109,,,0.8036899270941825,0.609415761543421,0.6374361454148688,0.47123443931954573,0.7809626543669097,0.6827071864305907,0.7862855229876506,0.5450974557357536,0.4514457174031642,0.9259782770421068
31_satimage-2,0.996483942414175,0.9835271317829457,0.7626245847176079,0.9979235880398671,0.45138427464008857,,0.9834440753045404,0.9760797342192691,0.4272425249169435,0.9859357696566999,0.9098837209302326,,0.9871262458471761,0.4362126245847176,,,0.9944905869324474,0.9861849390919158,0.754125138427464,0.5572535991140642,0.9905315614617941,0.5426633444075304,0.980703211517165,0.7514119601328904,0.0014673311184939214,0.9710548172757476
32_shuttle,0.996860747786811,0.9874609018185844,0.6187518215966876,0.9970577651715599,0.5576064178820144,,0.9965497534026204,0.9935423888602137,0.5224738219255927,0.9949247670391543,0.678577534482113,0.5494114716221695,0.9510745588683063,0.537486220994889,,,0.9906978486027234,0.9937638298877001,0.7557562455325085,0.48673226314358337,,0.434837721176438,0.993732893273566,0.9701347696606254,0.5194705279903087,0.999080042790222
47_yeast,0.4295560329394915,0.44835302542069455,0.41711421410669536,0.4772422126745435,0.4286385606874329,,0.4063730755460079,0.4771974579305407,0.4783834586466166,0.410031775868242,0.4136680988184748,0.43539652703186543,0.49250358037952024,0.47182688865019684,,,0.42575187969924816,0.44405656999641957,0.4704394915861081,0.45714733261725743,,0.46981292517006806,0.5186627282491943,0.6049722520587183,0.6073442534908701,0.5659013605442177
